Date, Review 1 (three times), Review 2 (4th pass), Review 3 (5th pass), Review 4 (6th pass), Review 5 (7th pass), Review 6 (8th pass), 
05/03/20, Unit 1 (Review 1), N/A, N/A, N/A, N/A, N/A, 
05/04/20, Unit 2 (Review 1), Unit 1 (Review 2), N/A, N/A, N/A, N/A, 
05/05/20, Unit 3 (Review 1), Unit 2 (Review 2), Unit 1 (Review 3), N/A, N/A, N/A, 
05/06/20, Unit 4 (Review 1), Unit 3 (Review 2), Unit 2 (Review 3), N/A, N/A, N/A, 
05/07/20, Unit 5 (Review 1), Unit 4 (Review 2), Unit 3 (Review 3), Unit 1 (Review 4), N/A, N/A, 
05/08/20, Unit 6 (Review 1), Unit 5 (Review 2), Unit 4 (Review 3), Unit 2 (Review 4), N/A, N/A, 
05/09/20, Unit 7 (Review 1), Unit 6 (Review 2), Unit 5 (Review 3), Unit 3 (Review 4), N/A, N/A, 
05/10/20, Unit 8 (Review 1), Unit 7 (Review 2), Unit 6 (Review 3), Unit 4 (Review 4), Unit 1 (Review 5), N/A, 
05/11/20, Unit 9 (Review 1), Unit 8 (Review 2), Unit 7 (Review 3), Unit 5 (Review 4), Unit 2 (Review 5), N/A, 
05/12/20, Unit 10 (Review 1), Unit 9 (Review 2), Unit 8 (Review 3), Unit 6 (Review 4), Unit 3 (Review 5), N/A, 
05/13/20, Unit 11 (Review 1), Unit 10 (Review 2), Unit 9 (Review 3), Unit 7 (Review 4), Unit 4 (Review 5), N/A, 
05/14/20, Unit 12 (Review 1), Unit 11 (Review 2), Unit 10 (Review 3), Unit 8 (Review 4), Unit 5 (Review 5), N/A, 
05/15/20, Unit 13 (Review 1), Unit 12 (Review 2), Unit 11 (Review 3), Unit 9 (Review 4), Unit 6 (Review 5), N/A, 
05/16/20, Unit 14 (Review 1), Unit 13 (Review 2), Unit 12 (Review 3), Unit 10 (Review 4), Unit 7 (Review 5), N/A, 
05/17/20, Unit 15 (Review 1), Unit 14 (Review 2), Unit 13 (Review 3), Unit 11 (Review 4), Unit 8 (Review 5), N/A, 
05/18/20, Unit 16 (Review 1), Unit 15 (Review 2), Unit 14 (Review 3), Unit 12 (Review 4), Unit 9 (Review 5), Unit 1 (Review 6), 
05/19/20, Unit 17 (Review 1), Unit 16 (Review 2), Unit 15 (Review 3), Unit 13 (Review 4), Unit 10 (Review 5), Unit 2 (Review 6), 
05/20/20, Unit 18 (Review 1), Unit 17 (Review 2), Unit 16 (Review 3), Unit 14 (Review 4), Unit 11 (Review 5), Unit 3 (Review 6), 
05/21/20, Unit 19 (Review 1), Unit 18 (Review 2), Unit 17 (Review 3), Unit 15 (Review 4), Unit 12 (Review 5), Unit 4 (Review 6), 
05/22/20, Unit 20 (Review 1), Unit 19 (Review 2), Unit 18 (Review 3), Unit 16 (Review 4), Unit 13 (Review 5), Unit 5 (Review 6), 
05/23/20, Unit 21 (Review 1), Unit 20 (Review 2), Unit 19 (Review 3), Unit 17 (Review 4), Unit 14 (Review 5), Unit 6 (Review 6), 
05/24/20, Unit 22 (Review 1), Unit 21 (Review 2), Unit 20 (Review 3), Unit 18 (Review 4), Unit 15 (Review 5), Unit 7 (Review 6), 
05/25/20, Unit 23 (Review 1), Unit 22 (Review 2), Unit 21 (Review 3), Unit 19 (Review 4), Unit 16 (Review 5), Unit 8 (Review 6), 
05/26/20, Unit 24 (Review 1), Unit 23 (Review 2), Unit 22 (Review 3), Unit 20 (Review 4), Unit 17 (Review 5), Unit 9 (Review 6), 
05/27/20, Unit 25 (Review 1), Unit 24 (Review 2), Unit 23 (Review 3), Unit 21 (Review 4), Unit 18 (Review 5), Unit 10 (Review 6), 
05/28/20, Unit 26 (Review 1), Unit 25 (Review 2), Unit 24 (Review 3), Unit 22 (Review 4), Unit 19 (Review 5), Unit 11 (Review 6), 
05/29/20, Unit 27 (Review 1), Unit 26 (Review 2), Unit 25 (Review 3), Unit 23 (Review 4), Unit 20 (Review 5), Unit 12 (Review 6), 
05/30/20, Unit 28 (Review 1), Unit 27 (Review 2), Unit 26 (Review 3), Unit 24 (Review 4), Unit 21 (Review 5), Unit 13 (Review 6), 
05/31/20, Unit 29 (Review 1), Unit 28 (Review 2), Unit 27 (Review 3), Unit 25 (Review 4), Unit 22 (Review 5), Unit 14 (Review 6), 
06/01/20, Unit 30 (Review 1), Unit 29 (Review 2), Unit 28 (Review 3), Unit 26 (Review 4), Unit 23 (Review 5), Unit 15 (Review 6), 
06/02/20, Unit 31 (Review 1), Unit 30 (Review 2), Unit 29 (Review 3), Unit 27 (Review 4), Unit 24 (Review 5), Unit 16 (Review 6), 
06/03/20, N/A, Unit 31 (Review 2), Unit 30 (Review 3), Unit 28 (Review 4), Unit 25 (Review 5), Unit 17 (Review 6), 
06/04/20, N/A, N/A, Unit 31 (Review 3), Unit 29 (Review 4), Unit 26 (Review 5), Unit 18 (Review 6), 
06/05/20, N/A, N/A, N/A, Unit 30 (Review 4), Unit 27 (Review 5), Unit 19 (Review 6), 
06/06/20, N/A, N/A, N/A, Unit 31 (Review 4), Unit 28 (Review 5), Unit 20 (Review 6), 
06/07/20, N/A, N/A, N/A, N/A, Unit 29 (Review 5), Unit 21 (Review 6), 
06/08/20, N/A, N/A, N/A, N/A, Unit 30 (Review 5), Unit 22 (Review 6), 
06/09/20, N/A, N/A, N/A, N/A, Unit 31 (Review 5), Unit 23 (Review 6), 
06/10/20, N/A, N/A, N/A, N/A, N/A, Unit 24 (Review 6), 
06/11/20, N/A, N/A, N/A, N/A, N/A, Unit 25 (Review 6), 
06/12/20, N/A, N/A, N/A, N/A, N/A, Unit 26 (Review 6), 
06/13/20, N/A, N/A, N/A, N/A, N/A, Unit 27 (Review 6), 
06/14/20, N/A, N/A, N/A, N/A, N/A, Unit 28 (Review 6), 
06/15/20, N/A, N/A, N/A, N/A, N/A, Unit 29 (Review 6), 
06/16/20, N/A, N/A, N/A, N/A, N/A, Unit 30 (Review 6), 
06/17/20, N/A, N/A, N/A, N/A, N/A, Unit 31 (Review 6), 
